Sexo;Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Hombres;Total Nacional;Servicios;2025T3;7.835,9
Hombres;Total Nacional;Servicios;2025T2;7.786,3
Hombres;Total Nacional;Servicios;2025T1;7.625,2
Hombres;Total Nacional;Servicios;2024T4;7.724,3
Hombres;Total Nacional;Servicios;2024T3;7.739,4
Hombres;Total Nacional;Servicios;2024T2;7.611,6
Hombres;Total Nacional;Servicios;2024T1;7.488,3
Hombres;Total Nacional;Servicios;2023T4;7.484,6
Hombres;Total Nacional;Servicios;2023T3;7.657,1
Hombres;Total Nacional;Servicios;2023T2;7.571,7
Hombres;Total Nacional;Servicios;2023T1;7.231,1
Hombres;Total Nacional;Servicios;2022T4;7.295,8
Hombres;Total Nacional;Servicios;2022T3;7.418,2
Hombres;Total Nacional;Servicios;2022T2;7.247,0
Hombres;Total Nacional;Servicios;2022T1;7.048,5
Hombres;Total Nacional;Servicios;2021T4;7.036,5
Hombres;Total Nacional;Servicios;2021T3;7.062,1
Hombres;Total Nacional;Servicios;2021T2;6.862,4
Hombres;Total Nacional;Servicios;2021T1;6.701,1
Hombres;Total Nacional;Servicios;2020T4;6.742,9
Hombres;Total Nacional;Servicios;2020T3;6.767,1
Hombres;Total Nacional;Servicios;2020T2;6.564,7
Hombres;Total Nacional;Servicios;2020T1;6.866,7
Hombres;Total Nacional;Servicios;2019T4;7.008,5
Hombres;Total Nacional;Servicios;2019T3;7.025,6
Hombres;Total Nacional;Servicios;2019T2;6.943,1
Hombres;Total Nacional;Servicios;2019T1;6.811,8
Hombres;Total Nacional;Servicios;2018T4;6.848,0
Hombres;Total Nacional;Servicios;2018T3;6.916,0
Hombres;Total Nacional;Servicios;2018T2;6.780,0
Hombres;Total Nacional;Servicios;2018T1;6.596,3
Hombres;Total Nacional;Servicios;2017T4;6.643,6
Hombres;Total Nacional;Servicios;2017T3;6.770,0
Hombres;Total Nacional;Servicios;2017T2;6.609,4
Hombres;Total Nacional;Servicios;2017T1;6.479,5
Hombres;Total Nacional;Servicios;2016T4;6.505,9
Hombres;Total Nacional;Servicios;2016T3;6.612,2
Hombres;Total Nacional;Servicios;2016T2;6.508,0
Hombres;Total Nacional;Servicios;2016T1;6.428,5
Hombres;Total Nacional;Servicios;2015T4;6.432,1
Hombres;Total Nacional;Servicios;2015T3;6.460,7
Hombres;Total Nacional;Servicios;2015T2;6.322,0
Hombres;Total Nacional;Servicios;2015T1;6.156,9
Hombres;Total Nacional;Servicios;2014T4;6.228,6
Hombres;Total Nacional;Servicios;2014T3;6.321,3
Hombres;Total Nacional;Servicios;2014T2;6.202,8
Hombres;Total Nacional;Servicios;2014T1;5.962,9
Hombres;Total Nacional;Servicios;2013T4;6.029,7
Hombres;Total Nacional;Servicios;2013T3;6.134,2
Hombres;Total Nacional;Servicios;2013T2;6.023,3
Hombres;Total Nacional;Servicios;2013T1;5.950,8
Hombres;Total Nacional;Servicios;2012T4;6.043,8
Hombres;Total Nacional;Servicios;2012T3;6.213,0
Hombres;Total Nacional;Servicios;2012T2;6.169,2
Hombres;Total Nacional;Servicios;2012T1;6.140,5
Hombres;Total Nacional;Servicios;2011T4;6.239,5
Hombres;Total Nacional;Servicios;2011T3;6.404,6
Hombres;Total Nacional;Servicios;2011T2;6.362,4
Hombres;Total Nacional;Servicios;2011T1;6.290,5
Hombres;Total Nacional;Servicios;2010T4;6.303,8
Hombres;Total Nacional;Servicios;2010T3;6.414,2
Hombres;Total Nacional;Servicios;2010T2;6.341,3
Hombres;Total Nacional;Servicios;2010T1;6.273,3
Hombres;Total Nacional;Servicios;2009T4;6.289,1
Hombres;Total Nacional;Servicios;2009T3;6.372,5
Hombres;Total Nacional;Servicios;2009T2;6.276,5
Hombres;Total Nacional;Servicios;2009T1;6.251,9
Hombres;Total Nacional;Servicios;2008T4;6.465,5
Hombres;Total Nacional;Servicios;2008T3;6.561,3
Hombres;Total Nacional;Servicios;2008T2;6.495,4
Hombres;Total Nacional;Servicios;2008T1;6.382,6
Hombres;01 Andalucía;Servicios;2025T3;1.348,9
Hombres;01 Andalucía;Servicios;2025T2;1.291,7
Hombres;01 Andalucía;Servicios;2025T1;1.276,4
Hombres;01 Andalucía;Servicios;2024T4;1.291,0
Hombres;01 Andalucía;Servicios;2024T3;1.334,4
Hombres;01 Andalucía;Servicios;2024T2;1.284,1
Hombres;01 Andalucía;Servicios;2024T1;1.253,2
Hombres;01 Andalucía;Servicios;2023T4;1.241,0
Hombres;01 Andalucía;Servicios;2023T3;1.292,0
Hombres;01 Andalucía;Servicios;2023T2;1.271,0
Hombres;01 Andalucía;Servicios;2023T1;1.226,2
Hombres;01 Andalucía;Servicios;2022T4;1.224,1
Hombres;01 Andalucía;Servicios;2022T3;1.254,5
Hombres;01 Andalucía;Servicios;2022T2;1.232,6
Hombres;01 Andalucía;Servicios;2022T1;1.185,6
Hombres;01 Andalucía;Servicios;2021T4;1.179,2
Hombres;01 Andalucía;Servicios;2021T3;1.179,0
Hombres;01 Andalucía;Servicios;2021T2;1.166,3
Hombres;01 Andalucía;Servicios;2021T1;1.101,1
Hombres;01 Andalucía;Servicios;2020T4;1.126,3
Hombres;01 Andalucía;Servicios;2020T3;1.123,1
Hombres;01 Andalucía;Servicios;2020T2;1.109,4
Hombres;01 Andalucía;Servicios;2020T1;1.138,6
Hombres;01 Andalucía;Servicios;2019T4;1.156,2
Hombres;01 Andalucía;Servicios;2019T3;1.180,3
Hombres;01 Andalucía;Servicios;2019T2;1.161,7
Hombres;01 Andalucía;Servicios;2019T1;1.133,1
Hombres;01 Andalucía;Servicios;2018T4;1.147,4
Hombres;01 Andalucía;Servicios;2018T3;1.184,0
