Sexo;Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Ambos sexos;Total Nacional;Total;2025T3;22.387,1
Ambos sexos;Total Nacional;Total;2025T2;22.268,7
Ambos sexos;Total Nacional;Total;2025T1;21.765,4
Ambos sexos;Total Nacional;Total;2024T4;21.857,9
Ambos sexos;Total Nacional;Total;2024T3;21.823,0
Ambos sexos;Total Nacional;Total;2024T2;21.684,7
Ambos sexos;Total Nacional;Total;2024T1;21.250,0
Ambos sexos;Total Nacional;Total;2023T4;21.389,7
Ambos sexos;Total Nacional;Total;2023T3;21.446,5
Ambos sexos;Total Nacional;Total;2023T2;21.258,4
Ambos sexos;Total Nacional;Total;2023T1;20.634,2
Ambos sexos;Total Nacional;Total;2022T4;20.640,7
Ambos sexos;Total Nacional;Total;2022T3;20.745,4
Ambos sexos;Total Nacional;Total;2022T2;20.607,2
Ambos sexos;Total Nacional;Total;2022T1;20.196,7
Ambos sexos;Total Nacional;Total;2021T4;20.274,8
Ambos sexos;Total Nacional;Total;2021T3;20.103,3
Ambos sexos;Total Nacional;Total;2021T2;19.716,1
Ambos sexos;Total Nacional;Total;2021T1;19.239,6
Ambos sexos;Total Nacional;Total;2020T4;19.344,3
Ambos sexos;Total Nacional;Total;2020T3;19.176,9
Ambos sexos;Total Nacional;Total;2020T2;18.607,2
Ambos sexos;Total Nacional;Total;2020T1;19.681,3
Ambos sexos;Total Nacional;Total;2019T4;19.966,9
Ambos sexos;Total Nacional;Total;2019T3;19.874,3
Ambos sexos;Total Nacional;Total;2019T2;19.804,9
Ambos sexos;Total Nacional;Total;2019T1;19.471,1
Ambos sexos;Total Nacional;Total;2018T4;19.564,6
Ambos sexos;Total Nacional;Total;2018T3;19.528,0
Ambos sexos;Total Nacional;Total;2018T2;19.344,1
Ambos sexos;Total Nacional;Total;2018T1;18.874,2
Ambos sexos;Total Nacional;Total;2017T4;18.998,4
Ambos sexos;Total Nacional;Total;2017T3;19.049,2
Ambos sexos;Total Nacional;Total;2017T2;18.813,3
Ambos sexos;Total Nacional;Total;2017T1;18.438,3
Ambos sexos;Total Nacional;Total;2016T4;18.508,1
Ambos sexos;Total Nacional;Total;2016T3;18.527,5
Ambos sexos;Total Nacional;Total;2016T2;18.301,0
Ambos sexos;Total Nacional;Total;2016T1;18.029,6
Ambos sexos;Total Nacional;Total;2015T4;18.094,2
Ambos sexos;Total Nacional;Total;2015T3;18.048,7
Ambos sexos;Total Nacional;Total;2015T2;17.866,5
Ambos sexos;Total Nacional;Total;2015T1;17.454,8
Ambos sexos;Total Nacional;Total;2014T4;17.569,1
Ambos sexos;Total Nacional;Total;2014T3;17.504,0
Ambos sexos;Total Nacional;Total;2014T2;17.353,0
Ambos sexos;Total Nacional;Total;2014T1;16.950,6
Ambos sexos;Total Nacional;Total;2013T4;17.135,2
Ambos sexos;Total Nacional;Total;2013T3;17.230,0
Ambos sexos;Total Nacional;Total;2013T2;17.160,6
Ambos sexos;Total Nacional;Total;2013T1;17.030,2
Ambos sexos;Total Nacional;Total;2012T4;17.339,4
Ambos sexos;Total Nacional;Total;2012T3;17.667,7
Ambos sexos;Total Nacional;Total;2012T2;17.758,5
Ambos sexos;Total Nacional;Total;2012T1;17.765,1
Ambos sexos;Total Nacional;Total;2011T4;18.153,0
Ambos sexos;Total Nacional;Total;2011T3;18.484,5
Ambos sexos;Total Nacional;Total;2011T2;18.622,0
Ambos sexos;Total Nacional;Total;2011T1;18.426,2
Ambos sexos;Total Nacional;Total;2010T4;18.674,9
Ambos sexos;Total Nacional;Total;2010T3;18.819,0
Ambos sexos;Total Nacional;Total;2010T2;18.751,1
Ambos sexos;Total Nacional;Total;2010T1;18.652,9
Ambos sexos;Total Nacional;Total;2009T4;18.890,4
Ambos sexos;Total Nacional;Total;2009T3;19.098,4
Ambos sexos;Total Nacional;Total;2009T2;19.154,2
Ambos sexos;Total Nacional;Total;2009T1;19.284,4
Ambos sexos;Total Nacional;Total;2008T4;20.055,3
Ambos sexos;Total Nacional;Total;2008T3;20.556,4
Ambos sexos;Total Nacional;Total;2008T2;20.646,9
Ambos sexos;Total Nacional;Total;2008T1;20.620,0
Ambos sexos;Total Nacional;Agricultura;2025T3;747,3
Ambos sexos;Total Nacional;Agricultura;2025T2;764,7
Ambos sexos;Total Nacional;Agricultura;2025T1;761,9
Ambos sexos;Total Nacional;Agricultura;2024T4;736,9
Ambos sexos;Total Nacional;Agricultura;2024T3;733,7
Ambos sexos;Total Nacional;Agricultura;2024T2;772,0
Ambos sexos;Total Nacional;Agricultura;2024T1;765,8
Ambos sexos;Total Nacional;Agricultura;2023T4;793,5
Ambos sexos;Total Nacional;Agricultura;2023T3;724,1
Ambos sexos;Total Nacional;Agricultura;2023T2;776,3
Ambos sexos;Total Nacional;Agricultura;2023T1;775,2
Ambos sexos;Total Nacional;Agricultura;2022T4;781,3
Ambos sexos;Total Nacional;Agricultura;2022T3;751,9
Ambos sexos;Total Nacional;Agricultura;2022T2;810,5
Ambos sexos;Total Nacional;Agricultura;2022T1;850,2
Ambos sexos;Total Nacional;Agricultura;2021T4;855,5
Ambos sexos;Total Nacional;Agricultura;2021T3;778,6
Ambos sexos;Total Nacional;Agricultura;2021T2;822,3
Ambos sexos;Total Nacional;Agricultura;2021T1;815,8
Ambos sexos;Total Nacional;Agricultura;2020T4;782,1
Ambos sexos;Total Nacional;Agricultura;2020T3;731,1
Ambos sexos;Total Nacional;Agricultura;2020T2;763,4
Ambos sexos;Total Nacional;Agricultura;2020T1;784,8
Ambos sexos;Total Nacional;Agricultura;2019T4;793,9
Ambos sexos;Total Nacional;Agricultura;2019T3;746,2
Ambos sexos;Total Nacional;Agricultura;2019T2;809,3
Ambos sexos;Total Nacional;Agricultura;2019T1;839,7
Ambos sexos;Total Nacional;Agricultura;2018T4;825,6
Ambos sexos;Total Nacional;Agricultura;2018T3;768,4
Ambos sexos;Total Nacional;Agricultura;2018T2;822,5
Ambos sexos;Total Nacional;Agricultura;2018T1;833,8
Ambos sexos;Total Nacional;Agricultura;2017T4;820,7
Ambos sexos;Total Nacional;Agricultura;2017T3;777,0
Ambos sexos;Total Nacional;Agricultura;2017T2;832,6
Ambos sexos;Total Nacional;Agricultura;2017T1;847,7
Ambos sexos;Total Nacional;Agricultura;2016T4;816,7
Ambos sexos;Total Nacional;Agricultura;2016T3;743,8
Ambos sexos;Total Nacional;Agricultura;2016T2;760,2
Ambos sexos;Total Nacional;Agricultura;2016T1;777,4
Ambos sexos;Total Nacional;Agricultura;2015T4;779,7
Ambos sexos;Total Nacional;Agricultura;2015T3;709,5
Ambos sexos;Total Nacional;Agricultura;2015T2;740,4
Ambos sexos;Total Nacional;Agricultura;2015T1;717,4
Ambos sexos;Total Nacional;Agricultura;2014T4;728,9
Ambos sexos;Total Nacional;Agricultura;2014T3;666,1
Ambos sexos;Total Nacional;Agricultura;2014T2;739,3
Ambos sexos;Total Nacional;Agricultura;2014T1;809,1
Ambos sexos;Total Nacional;Agricultura;2013T4;777,3
Ambos sexos;Total Nacional;Agricultura;2013T3;699,4
Ambos sexos;Total Nacional;Agricultura;2013T2;753,1
Ambos sexos;Total Nacional;Agricultura;2013T1;716,5
Ambos sexos;Total Nacional;Agricultura;2012T4;774,0
Ambos sexos;Total Nacional;Agricultura;2012T3;714,2
Ambos sexos;Total Nacional;Agricultura;2012T2;722,3
Ambos sexos;Total Nacional;Agricultura;2012T1;763,0
Ambos sexos;Total Nacional;Agricultura;2011T4;802,3
Ambos sexos;Total Nacional;Agricultura;2011T3;704,8
Ambos sexos;Total Nacional;Agricultura;2011T2;735,9
Ambos sexos;Total Nacional;Agricultura;2011T1;778,0
Ambos sexos;Total Nacional;Agricultura;2010T4;796,0
Ambos sexos;Total Nacional;Agricultura;2010T3;747,8
Ambos sexos;Total Nacional;Agricultura;2010T2;772,8
Ambos sexos;Total Nacional;Agricultura;2010T1;827,7
Ambos sexos;Total Nacional;Agricultura;2009T4;778,6
Ambos sexos;Total Nacional;Agricultura;2009T3;740,6
Ambos sexos;Total Nacional;Agricultura;2009T2;790,8
Ambos sexos;Total Nacional;Agricultura;2009T1;842,5
Ambos sexos;Total Nacional;Agricultura;2008T4;813,2
Ambos sexos;Total Nacional;Agricultura;2008T3;798,8
Ambos sexos;Total Nacional;Agricultura;2008T2;830,6
Ambos sexos;Total Nacional;Agricultura;2008T1;870,1
Ambos sexos;Total Nacional;Industria;2025T3;3.069,6
Ambos sexos;Total Nacional;Industria;2025T2;3.005,5
Ambos sexos;Total Nacional;Industria;2025T1;2.915,2
Ambos sexos;Total Nacional;Industria;2024T4;2.919,6
Ambos sexos;Total Nacional;Industria;2024T3;2.912,6
Ambos sexos;Total Nacional;Industria;2024T2;2.889,2
Ambos sexos;Total Nacional;Industria;2024T1;2.825,8
Ambos sexos;Total Nacional;Industria;2023T4;2.864,3
Ambos sexos;Total Nacional;Industria;2023T3;2.847,3
Ambos sexos;Total Nacional;Industria;2023T2;2.741,1
Ambos sexos;Total Nacional;Industria;2023T1;2.805,4
Ambos sexos;Total Nacional;Industria;2022T4;2.808,6
Ambos sexos;Total Nacional;Industria;2022T3;2.817,1
Ambos sexos;Total Nacional;Industria;2022T2;2.784,4
Ambos sexos;Total Nacional;Industria;2022T1;2.706,3
Ambos sexos;Total Nacional;Industria;2021T4;2.779,0
Ambos sexos;Total Nacional;Industria;2021T3;2.741,6
Ambos sexos;Total Nacional;Industria;2021T2;2.678,7
Ambos sexos;Total Nacional;Industria;2021T1;2.643,0
Ambos sexos;Total Nacional;Industria;2020T4;2.693,6
Ambos sexos;Total Nacional;Industria;2020T3;2.687,7
Ambos sexos;Total Nacional;Industria;2020T2;2.642,3
Ambos sexos;Total Nacional;Industria;2020T1;2.769,3
Ambos sexos;Total Nacional;Industria;2019T4;2.763,7
Ambos sexos;Total Nacional;Industria;2019T3;2.815,8
Ambos sexos;Total Nacional;Industria;2019T2;2.764,5
Ambos sexos;Total Nacional;Industria;2019T1;2.708,5
Ambos sexos;Total Nacional;Industria;2018T4;2.708,3
